sr,items,Purchase Quantity,Sell price,Cost price,Total Cost Price,Sell Quantity,Total Sell Price,Profit Monthly,Month,Profit/item,,,Purchase Quantity,Sell price,Cost price,Total Cost Price,Sell Quantity,Total Sell Price,Profit Monthly,Profit/item
82,Indulekha Shampoo,6,135.00,112.81,676.90,5,675.00,-1.90,April,22.19,,,,,,,,,,
83,Patanjali Toothpaste,12,60.00,53.50,642.00,6,360.00,-282.00,Dec,6.50,,,,,,,,,,
84,Indulekha Shampoo,3,243.00,195.36,586.10,3,729.00,142.90,Oct,47.64,,,,,,,,,,
85,Britannia Cookies,20,45.00,36.23,724.60,2,90.00,-634.60,Jan,8.77,,,,,,,,,,
86,Britannia Cookies,12,40.00,32.63,391.60,0,0.00,-391.60,April,7.37,,,,,,,,,,
87,Britannia Cake,10,30.00,23.40,234.00,9,270.00,36.00,Jan,6.60,,,,,,,,,,
88,Himalaya Facewash,3,55.00,40.69,122.10,3,165.00,42.90,Nov,14.31,,,,,,,,,,
89,Cookies,5,20.00,14.40,72.00,5,100.00,28.00,Nov,5.60,,,,,,,,,,
90,Cookies,5,20.00,14.40,72.00,5,100.00,28.00,August,5.60,,,,,,,,,,
91,Surf Excel Detergent,24,68.00,60.32,"1,447.70",13,884.00,-563.70,Nov,7.68,,,,,,,,,,
92,Priyagold Biscuits,4,165.00,75.90,303.60,4,660.00,356.40,Nov,89.10,,,,,,,,,,
93,Priyagold Biscuits,4,165.00,75.90,303.60,4,660.00,356.40,Oct,89.10,,,,,,,,,,
94,Priyagold Biscuits,6,50.00,36.00,216.00,6,300.00,84.00,August,14.00,,,,,,,,,,
95,Priyagold Biscuits,6,50.00,36.00,216.00,6,300.00,84.00,August,14.00,,,,,,,,,,
96,Dove Shampoo,1,"1,050.00",553.00,553.00,1,1050.00,497.00,March,497.00,,,,,,,,,,
97,Dettol Soap,3,150.00,136.00,408.00,3,450.00,42.00,Sept,14.00,,,,,,,,,,
98,Chocolate,3,399.00,293.53,880.60,3,1197.00,316.40,Nov,105.48,,,,,,,,,,
99,Parle Candy,6,60.00,37.81,226.90,6,360.00,133.10,July,22.19,,,,,,,,,,
100,Parle Candy,6,60.00,37.81,226.90,6,360.00,133.10,Oct,22.19,,,,,,,,,,
101,Vaseline,1,588.00,346.28,346.30,1,588.00,241.70,July,241.72,,,,,,,,,,
102,Dabur Red Toothpaste,6,130.00,109.27,655.60,5,650.00,-5.60,March,20.73,,,,,,,,,,
103,Dabur Red Toothpaste,3,70.00,58.87,176.60,3,210.00,33.40,April,11.13,,,,,,,,,,
104,Patanjali Shampoo,4,120.00,100.66,402.70,4,480.00,77.30,May,19.34,,,,,,,,,,
105,Patanjali Shampoo,4,100.00,83.78,335.10,4,400.00,64.90,Feb,16.22,,,,,,,,,,
106,Himalaya Facewash,6,80.00,56.08,336.50,6,480.00,143.50,April,23.92,,,,,,,,,,
107,Britannia Cookies,12,40.00,32.38,388.60,0,0.00,-388.60,Feb,7.62,,,,,,,,,,
